apg,college,draft_year,gp,mp,mpg,player,ppg,rank,rbg,team,ws,ws_48,yrs
,University of California,1980,,,,Doug TRUE,,65,,PHO,,,
0.0,Tuskegee University,1980,1,7,7.0,Carl Bailey,2.0,66,0.0,SEA,0.0,-0.268,1
,Winston-Salem State University,1980,,,,Reggie Gaines,,67,,PHI,,,
,Illinois State University,1980,,,,Ron Jones,,68,,CLE,,,
,University of Idaho,1980,,,,Donald Newman,,69,,BOS,,,
3.7,University of Portland,1980,612,14156,23.1,Darwin Cook,9.5,70,2.1,DET,22.9,.078,8
,University of Alabama,1980,,,,Robert Scott,,71,,GSW,,,
,Brigham Young University,1980,,,,Alan Taylor,,72,,UTA,,,
,University of Pittsburgh,1980,,,,Sammie Ellis,,73,,DEN,,,
,Michigan State University,1980,,,,Ron Charles,,74,,CHI,,,
5.0,Villanova University,1980,836,22550,27.0,Rory Sparrow,9.0,75,2.1,NJN,28.3,.060,12
,Oklahoma State University,1980,,,,Ed Odom,,76,,SDC,,,
,Florida State University,1980,,,,Murray Brown,,77,,CLE,,,
,University of Notre Dame,1980,,,,Rich Branning,,78,,IND,,,
,Saint Louis University,1980,,,,Kelvin Henderson,,79,,POR,,,
,Weber State University,1980,,,,David Johnson,,80,,DAL,,,
,"California State University, Long Beach",1980,,,,Francois Wise,,81,,WSB,,,
,University of Wisconsin,1980,,,,Joseph Chmelich,,82,,NYK,,,
,"California State University, Fullerton",1980,,,,Calvin Roberts,,83,,SAS,,,
,Utah State University,1980,,,,Dean Hunger,,84,,HOU,,,
,Western Kentucky University,1980,,,,Billy Bryant,,85,,PHI,,,
,University of North Carolina,1980,,,,Jeff Wolf,,86,,MIL,,,
1.0,Florida State University,1980,2,14,7.0,Tony Jackson,1.0,87,1.0,LAL,0.0,.124,1
,Loyola University of Chicago,1980,,,,Leroy Stampley,,88,,PHO,,,
,Murray State University,1980,,,,Gary Ray Hooker,,89,,SEA,,,
,Savannah State University,1980,,,,Harold Hubbard,,90,,PHI,,,
,University of Texas at Austin,1980,,,,Ron Baxter,,91,,LAL,,,
,Iona College,1980,,,,Kevin Hamilton,,92,,BOS,,,
1.9,Pepperdine University,1980,15,248,16.5,Tony Fuller,4.0,93,2.8,DET,-0.1,-0.021,1
,Boston University,1980,,,,Wally West,,94,,UTA,,,
,University of Southern California,1980,,,,Don Carlino,,95,,GSW,,,
,Northwestern University,1980,,,,Mike Campbell,,96,,CHI,,,
,Texas State University,1980,,,,James Patrick,,97,,DEN,,,
,University of Oklahoma,1980,,,,Aaron Curry,,98,,NJN,,,
0.7,San Jose State University,1980,25,153,6.1,Wally Rank,2.2,99,1.2,SDC,-0.4,-0.140,1
,Illinois State University,1980,,,,Joe Galvin,,100,,IND,,,
,University of Kentucky,1980,,,,LaVon Williams,,101,,CLE,,,
,University of New Mexico,1980,,,,Larry Belin,,102,,POR,,,
1.1,"University of California, Los Angeles",1980,22,276,12.5,Darrell Allums,2.7,103,3.0,DAL,-0.3,-0.054,1
,Albright College,1980,,,,William Carey,,104,,NYK,,,
,Rutgers University,1980,,,,Daryl Strickland,,105,,WSB,,,
,University of New Mexico,1980,,,,Albert Jones,,106,,HOU,,,
,University of Wisconsin-Eau Claire,1980,,,,Gib Hinz,,107,,SAS,,,
,Eastern Michigan University,1980,,,,Kevin Blakley,,108,,KCK,,,
,Virginia Commonwealth University,1980,,,,Ken Jones,,109,,MIL,,,
,University of South Carolina,1980,,,,Mike Doyle,,110,,ATL,,,
,Northern Arizona University,1980,,,,Mark Stevens,,111,,PHO,,,
,Georgia Institute of Technology,1980,,,,Lenny Horton,,112,,SEA,,,
,University of Toledo,1980,,,,Jim Swaney,,113,,PHI,,,
,University of Portland,1980,,,,Rick Raivio,,114,,LAL,,,
,University of Maine,1980,,,,Rufus Harris,,115,,BOS,,,
,University of Alaska Anchorage,1980,,,,Tony Turner,,116,,DET,,,
,University of Illinois at Urbana-Champaign,1980,,,,Neil Bresnahan,,117,,GSW,,,
,Western Michigan University,1980,,,,Ken Cunningham,,118,,UTA,,,
,Oklahoma City University,1980,,,,Ernie Hill,,119,,DEN,,,
,St. John's University,1980,,,,Bernard Rencher,,120,,CHI,,,
,Louisiana State University,1980,,,,Rick Mattick,,121,,NJN,,,
,Santa Clara University,1980,,,,Londale Theus,,122,,SDC,,,
,Oral Roberts University,1980,,,,Antonio Martin,,123,,CLE,,,
,Philadelphia University,1980,,,,Randy Owens,,124,,IND,,,
,University of Lethbridge,1980,,,,Perry Mirkovich,,125,,POR,,,
,Cameron University,1980,,,,Leroy Jackson,,126,,DAL,,,
,Chicago State University,1980,,,,Ken Dancy,,127,,WSB,,,
,New York Institute of Technology,1980,,,,Kelvin Hicks,,128,,NYK,,,
